id,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price
2847310,Downtown Eastside,Entire home/apt,2,1,0,1,59
2944104,Downtown,Entire home/apt,2,1,1,1,59
2958786,West End,Private room,1,1,1,1,59
2985232,West Point Grey,Entire home/apt,3,,2,,59
2988185,West End,Entire home/apt,4,,2,,59
2988465,West End,Entire home/apt,2,,1,,59
2997414,Strathcona,Entire home/apt,4,,2,,59
3018758,Hastings-Sunrise,Entire home/apt,6,,3,,59
3040736,Downtown,Entire home/apt,2,,1,,59
3068198,Kitsilano,Entire home/apt,3,,2,,59
3093219,Kitsilano,Entire home/apt,6,2,3,3,59
3100878,Downtown,Entire home/apt,2,1,1,0,60
3124378,Downtown,Entire home/apt,2,,1,,60
3133244,West End,Entire home/apt,2,,1,,60
3138351,Renfrew-Collingwood,Private room,2,1,1,1,60
3142563,Kitsilano,Entire home/apt,3,1,1,1,60
3158923,Grandview-Woodland,Entire home/apt,6,,3,,60
3168686,Downtown Eastside,Entire home/apt,4,1,2,2,60
3177610,Downtown,Entire home/apt,4,1.5,2,2,60
3183304,Renfrew-Collingwood,Private room,2,1,1,1,60
3194330,Grandview-Woodland,Entire home/apt,3,1,2,3,60
3215295,Riley Park,Entire home/apt,2,1,1,1,60
3230030,Downtown,Entire home/apt,2,,1,,60
3230315,Downtown,Entire home/apt,2,,1,,60
3241017,Downtown,Entire home/apt,2,,1,,60
3248971,West End,Entire home/apt,1,,,,60
3258141,Kitsilano,Entire home/apt,5,,3,,60
3302983,Downtown,Entire home/apt,2,,,,60
3309313,Downtown,Entire home/apt,6,2,2,3,60
3331054,Hastings-Sunrise,Entire home/apt,2,1,1,0,60
3340865,Dunbar Southlands,Entire home/apt,3,1,1,2,60
3342823,Kitsilano,Entire home/apt,4,1,2,2,61
3379810,Hastings-Sunrise,Entire home/apt,5,,3,,61
3425973,Kitsilano,Entire home/apt,3,,2,,61
3458717,Kitsilano,Entire home/apt,6,4.5,3,3,61
3479638,Renfrew-Collingwood,Private room,1,1,1,1,61
3534949,Dunbar Southlands,Private room,3,1.5,1,1,62
3577737,Hastings-Sunrise,Entire home/apt,2,1,1,1,62
3594666,Downtown,Entire home/apt,4,1,2,2,62
3621849,Hastings-Sunrise,Entire home/apt,10,3,5,5,62
3629071,Grandview-Woodland,Entire home/apt,2,1,1,1,62
3638973,Renfrew-Collingwood,Private room,2,1,1,1,62
3678827,Downtown,Entire home/apt,4,2,1,2,62
3678989,Grandview-Woodland,Entire home/apt,4,1,1,2,63
3679016,Grandview-Woodland,Entire home/apt,2,,1,,63
3742414,West Point Grey,Entire home/apt,5,1.5,2,4,63
3766620,Kitsilano,Entire home/apt,2,,1,,63
3803319,Mount Pleasant,Entire home/apt,6,,3,,63
3811719,Downtown,Entire home/apt,2,,1,,63
3812348,Riley Park,Private room,2,1,1,1,64
3829365,Grandview-Woodland,Entire home/apt,2,1,0,1,64
3857478,West End,Entire home/apt,3,1,1,2,65
3859085,Mount Pleasant,Private room,1,1,1,1,65
3888379,Grandview-Woodland,Entire home/apt,4,1,2,2,65
3902807,Kitsilano,Entire home/apt,4,2,2,2,65
3971726,Downtown,Entire home/apt,2,,1,,65
3994011,West End,Entire home/apt,2,,,,65
4054111,Mount Pleasant,Entire home/apt,4,2,2,3,65
4075378,Downtown,Entire home/apt,2,1,0,1,65
4104870,Grandview-Woodland,Entire home/apt,5,1,1,3,65
4108794,Kitsilano,Entire home/apt,4,1,2,2,65
4118193,Downtown,Entire home/apt,4,,2,,65
4120301,Downtown,Entire home/apt,5,2,2,2,65
4137579,Grandview-Woodland,Entire home/apt,2,1,1,0,65
4145030,Killarney,Private room,2,1,1,1,65
4225233,West End,Entire home/apt,2,1,1,1,65
4244379,Downtown Eastside,Entire home/apt,3,1,1,2,65
4256725,Hastings-Sunrise,Entire home/apt,2,1,1,1,65
4348412,Kitsilano,Entire home/apt,4,,2,,65
4351464,Downtown,Private room,2,1,1,1,65
4377155,Kensington-Cedar Cottage,Entire home/apt,5,,4,,65
4395511,Renfrew-Collingwood,Entire home/apt,2,1,1,1,65
4404431,Kitsilano,Entire home/apt,8,,3,,65
4418911,Kitsilano,Entire home/apt,2,,1,,66
4447077,Strathcona,Entire home/apt,3,,2,,66
4465068,Kitsilano,Entire home/apt,5,2.5,3,3,66
4493377,Kitsilano,Entire home/apt,4,1,2,2,66
4495075,West End,Entire home/apt,2,1,1,1,66
4568364,West Point Grey,Entire home/apt,6,1,2,4,66
4588807,Mount Pleasant,Private room,2,1,2,0,66
4624838,Mount Pleasant,Private room,2,1,1,1,67
4637856,Grandview-Woodland,Entire home/apt,4,2,2,1,67
4659229,Riley Park,Entire home/apt,2,1,0,0,67
4679955,Kitsilano,Entire home/apt,8,1.5,3,3,67
4694785,Downtown,Entire home/apt,4,,1,,68
4699429,Renfrew-Collingwood,Private room,1,1,1,1,68
4701041,Renfrew-Collingwood,Private room,1,1,1,1,68
4701190,Renfrew-Collingwood,Entire home/apt,2,1,2,2,68
4747128,Downtown,Entire home/apt,4,1.5,2,2,68
4787924,Kensington-Cedar Cottage,Entire home/apt,2,1,1,0,68
4817453,Riley Park,Private room,2,1,1,2,68
4849995,Downtown,Entire home/apt,4,2,2,2,68
4856515,Riley Park,Private room,1,1,1,1,68
4888430,Mount Pleasant,Entire home/apt,2,1,1,1,69
4924996,Grandview-Woodland,Entire home/apt,6,1.5,2,4,69
4942126,Fairview,Private room,2,1,1,1,69
4995055,Riley Park,Entire home/apt,2,1,1,1,69
5005722,West Point Grey,Entire home/apt,6,1,2,3,69
5089343,West End,Private room,2,,,,69
5154272,Downtown,Entire home/apt,2,1,1,1,69
5278749,Mount Pleasant,Entire home/apt,2,,1,,69
5315811,Fairview,Entire home/apt,2,1,1,0,69
5347437,Downtown,Entire home/apt,3,1,2,2,69
5391067,Downtown Eastside,Entire home/apt,2,,1,,69
5415806,Downtown,Entire home/apt,3,1,2,2,69
5423637,West End,Entire home/apt,3,1,2,2,69
5439203,Downtown,Entire home/apt,2,1,0,1,69
5459210,Mount Pleasant,Entire home/apt,4,,3,,69
5471844,Kensington-Cedar Cottage,Entire home/apt,2,1,1,1,70
5480529,West End,Entire home/apt,6,2,3,3,70
5490474,Kitsilano,Entire home/apt,4,1,2,2,70
5571829,Downtown,Entire home/apt,2,1,0,1,70
5602997,Grandview-Woodland,Entire home/apt,4,1,2,2,70
5631903,South Cambie,Entire home/apt,4,1,2,2,70
5642121,Grandview-Woodland,Entire home/apt,2,1,1,1,70
5670706,West End,Entire home/apt,2,,1,,70
5747556,Grandview-Woodland,Entire home/apt,4,1,1,2,70
5759976,Downtown Eastside,Entire home/apt,3,,1,,70
5761885,Grandview-Woodland,Entire home/apt,2,,,,70
5795871,Downtown,Entire home/apt,2,,1,,70
5814747,Renfrew-Collingwood,Entire home/apt,2,1,0,1,70
5857194,Grandview-Woodland,Entire home/apt,2,1,1,1,70
5877217,West End,Entire home/apt,2,1,1,1,70
5881530,Grandview-Woodland,Entire home/apt,5,1,2,2,70
5919984,Downtown,Entire home/apt,2,1,1,1,70
5961772,Downtown,Entire home/apt,2,,1,,70
6032973,West Point Grey,Entire home/apt,8,4,4,4,70
6045404,Riley Park,Entire home/apt,6,2.5,3,3,70
6134895,Mount Pleasant,Entire home/apt,8,2.5,3,4,70
6146714,Downtown,Entire home/apt,2,1,1,1,70
6166558,Fairview,Entire home/apt,6,,2,,70
6184381,Riley Park,Entire home/apt,4,1,2,2,70
6226872,Hastings-Sunrise,Entire home/apt,2,1,1,1,70
6239107,Downtown,Entire home/apt,3,,2,,70
6270968,Downtown,Entire home/apt,4,,2,,70
6315732,Fairview,Entire home/apt,3,1,1,2,70
6324453,Mount Pleasant,Entire home/apt,10,2.5,4,4,70
6347338,Riley Park,Entire home/apt,2,1,2,1,70
6364673,Downtown,Entire home/apt,6,,2,,71
6365193,Grandview-Woodland,Entire home/apt,3,,2,,71
6407591,Hastings-Sunrise,Entire home/apt,6,,3,,71
6416204,West End,Entire home/apt,2,1,1,1,71
6416686,Renfrew-Collingwood,Private room,2,,,,71
6421331,Hastings-Sunrise,Entire home/apt,4,1.5,2,2,71
6425616,Downtown Eastside,Entire home/apt,4,2,2,2,72
6452450,West End,Entire home/apt,2,,1,,72
6453318,Downtown Eastside,Entire home/apt,2,1,1,1,72
6493890,Mount Pleasant,Entire home/apt,2,,1,,72
6494884,Grandview-Woodland,Entire home/apt,6,2.5,3,3,72
6611269,Renfrew-Collingwood,Entire home/apt,2,1,1,1,72
6643391,Downtown,Entire home/apt,2,,1,,72
6645469,Kitsilano,Entire home/apt,3,1,1,1,72
6660457,West End,Private room,1,1,1,1,72
6732143,Riley Park,Entire home/apt,2,1,0,1,72
6747832,West Point Grey,Entire home/apt,2,1,0,1,73
6808688,Downtown,Private room,1,1,1,1,73
6812180,Downtown Eastside,Entire home/apt,3,1,2,2,73
6836507,Downtown,Entire home/apt,4,2,2,2,73
6854409,Fairview,Entire home/apt,2,,2,,73
6863617,Downtown Eastside,Private room,2,1,1,1,73
6867548,Riley Park,Entire home/apt,6,1.5,2,3,73
6871805,Kensington-Cedar Cottage,Entire home/apt,9,,3,,73
6897283,Dunbar Southlands,Private room,2,,2,,73
6977279,Sunset,Entire home/apt,8,,4,,73
6993905,West End,Private room,2,1,1,1,73
7022315,Sunset,Entire home/apt,6,,4,,73
7027063,Kensington-Cedar Cottage,Entire home/apt,2,,1,,73
7034128,Hastings-Sunrise,Entire home/apt,4,1,2,2,73
7054627,Victoria-Fraserview,Entire home/apt,3,1,1,0,74
7091335,Kensington-Cedar Cottage,Entire home/apt,4,,2,,74
7112627,Fairview,Entire home/apt,4,2,2,2,74
7163201,Downtown,Private room,2,1,1,1,75
7183413,Grandview-Woodland,Private room,2,1,1,1,75
7248669,Hastings-Sunrise,Entire home/apt,3,1,1,0,75
7327653,Downtown,Entire home/apt,2,,1,,75
7365327,Kitsilano,Entire home/apt,6,1,2,0,75
7432239,West Point Grey,Entire home/apt,6,1,2,3,75
7438069,Riley Park,Entire home/apt,10,2.5,4,6,75
7475786,Kensington-Cedar Cottage,Entire home/apt,2,1,1,1,75
7478857,Grandview-Woodland,Entire home/apt,2,1,1,0,75
7481879,Kitsilano,Private room,3,1,1,0,75
7494656,West Point Grey,Private room,2,1,1,1,75
7547752,Renfrew-Collingwood,Entire home/apt,2,1,1,1,75
7548858,Mount Pleasant,Entire home/apt,2,1,0,1,75
7583961,Downtown,Private room,1,1,2,0,75
7635114,West Point Grey,Private room,3,1,1,1,75
7639521,Downtown Eastside,Entire home/apt,2,1,1,1,75
7674840,Grandview-Woodland,Entire home/apt,7,,3,,75
7679929,Mount Pleasant,Entire home/apt,2,1,1,1,75
7701543,Downtown,Private room,2,1,1,1,75
7716459,Downtown Eastside,Entire home/apt,2,,1,,75
7741348,Mount Pleasant,Private room,2,,,,75
7747325,Mount Pleasant,Entire home/apt,4,,1,,75
7749728,Downtown,Entire home/apt,3,,1,,75
7769633,Riley Park,Private room,2,1,1,1,75
7788230,Marpole,Private room,1,1,1,1,75
7804061,Downtown Eastside,Entire home/apt,2,1,1,1,75
7822189,Renfrew-Collingwood,Private room,1,,1,,75
7827790,Downtown,Entire home/apt,2,,1,,75
7838721,Downtown Eastside,Entire home/apt,2,1,0,0,75
7858563,Marpole,Private room,1,1,1,0,75
7858932,Marpole,Private room,2,1,1,1,76
7860202,Marpole,Private room,2,1,1,1,76
7860338,Marpole,Private room,1,1,1,1,76
7860380,Marpole,Entire home/apt,6,1,2,3,76
7917307,Downtown,Entire home/apt,4,1,1,2,76
7917938,Downtown,Entire home/apt,3,2,2,2,76
7921570,Downtown,Entire home/apt,4,2,2,0,76
7931005,Mount Pleasant,Entire home/apt,2,,1,,76
7936342,Downtown Eastside,Entire home/apt,4,2,1,2,76
7986252,Sunset,Entire home/apt,4,,2,,76
7988085,Kensington-Cedar Cottage,Private room,1,1.5,1,1,76
7989551,Downtown,Entire home/apt,4,1,2,2,77
8014842,Killarney,Entire home/apt,2,,1,,77
8017360,West End,Entire home/apt,2,,1,,78
8118622,Downtown,Entire home/apt,4,,2,,78
8173136,West End,Entire home/apt,6,,3,,78
8210512,Riley Park,Entire home/apt,3,,2,,78
8252104,Grandview-Woodland,Entire home/apt,2,1,1,1,78
8254293,Downtown,Entire home/apt,3,,1,,78
8356680,Strathcona,Entire home/apt,2,1,0,1,78
8371276,Downtown,Entire home/apt,4,1,2,2,79
8423376,Grandview-Woodland,Entire home/apt,4,,11,,79
8429321,Fairview,Entire home/apt,4,1,1,1,79
8434517,Mount Pleasant,Entire home/apt,3,1,1,1,79
8470134,Downtown,Entire home/apt,2,,1,,79
8541289,Downtown,Entire home/apt,4,1,2,2,79
8558636,Riley Park,Entire home/apt,2,1,1,2,79
8616836,Riley Park,Entire home/apt,2,,,,79
8672239,Sunset,Entire home/apt,5,1,2,3,79
8685139,Kensington-Cedar Cottage,Private room,2,1,1,1,79
8697713,Kitsilano,Private room,2,,,,79
8721425,Riley Park,Private room,2,1,1,1,79
8736944,Kitsilano,Entire home/apt,8,2,4,4,79
8743634,Mount Pleasant,Entire home/apt,4,1,2,2,80
8780405,Mount Pleasant,Entire home/apt,2,,1,,80
8802669,Renfrew-Collingwood,Private room,2,1.5,1,3,80
8900687,Downtown Eastside,Entire home/apt,2,1,1,1,80
8935357,Sunset,Entire home/apt,5,,3,,80
8941830,West End,Entire home/apt,3,1,0,1,80
9016662,Hastings-Sunrise,Private room,1,1,1,1,80
9046022,Downtown,Entire home/apt,3,1,2,2,80
9074376,Kensington-Cedar Cottage,Entire home/apt,6,,4,,80
9315705,Kitsilano,Entire home/apt,2,1.5,1,0,80
9318501,Riley Park,Entire home/apt,6,,6,,80
9319614,Kensington-Cedar Cottage,Private room,1,,,,80
9450480,Kitsilano,Entire home/apt,2,0,1,0,80
9490187,Downtown,Entire home/apt,4,,1,,80
9515819,Grandview-Woodland,Entire home/apt,2,1,1,1,80
9533778,Grandview-Woodland,Entire home/apt,6,,2,,80
9562576,Downtown,Entire home/apt,2,1,1,1,80
9592923,Mount Pleasant,Entire home/apt,5,,1,,80
9604978,Hastings-Sunrise,Entire home/apt,2,1,1,1,80
9636681,Downtown Eastside,Entire home/apt,2,,1,,80
9684392,Kitsilano,Entire home/apt,3,,1,,80
9761890,Hastings-Sunrise,Entire home/apt,8,,3,,80
9867831,Kitsilano,Entire home/apt,4,2.5,2,0,81
9901027,Downtown Eastside,Private room,2,1,1,1,81
10154874,Downtown,Entire home/apt,2,,1,,81
10193033,South Cambie,Entire home/apt,4,,2,,81
10231101,Kitsilano,Entire home/apt,4,1,1,1,81
10523480,West End,Entire home/apt,2,1,0,0,82
10541223,South Cambie,Entire home/apt,4,,2,,82
10598712,West End,Entire home/apt,6,2,2,3,82
10618317,Kensington-Cedar Cottage,Entire home/apt,4,,1,,82
10619943,Grandview-Woodland,Entire home/apt,6,1.5,2,3,82
10786475,Arbutus Ridge,Entire home/apt,4,1,2,2,82
10811008,Downtown,Entire home/apt,3,,1,,82
10867374,Downtown,Entire home/apt,2,1,1,1,82
10924322,Downtown Eastside,Entire home/apt,3,1,1,2,83
10929677,Downtown,Entire home/apt,4,1,1,2,83
10946286,Downtown Eastside,Entire home/apt,4,,1,,83
10992078,Dunbar Southlands,Entire home/apt,6,1,2,3,83
11102652,Mount Pleasant,Entire home/apt,4,1,1,2,84
11125104,Marpole,Entire home/apt,3,1,1,2,84
11207279,West End,Entire home/apt,3,,2,,84
11242550,Renfrew-Collingwood,Private room,1,1,1,1,85
11261229,Grandview-Woodland,Entire home/apt,6,2,2,6,85
11285619,West End,Entire home/apt,4,1,1,2,85
11361362,Kensington-Cedar Cottage,Entire home/apt,6,1,3,4,85
11393844,Downtown Eastside,Entire home/apt,6,1.5,3,3,85
11401593,Kitsilano,Entire home/apt,4,1,2,2,85
11441600,Kitsilano,Entire home/apt,4,,1,,85
11548616,Hastings-Sunrise,Entire home/apt,2,1,0,2,85
11550687,Kensington-Cedar Cottage,Private room,1,2,1,0,85
11588321,Downtown,Entire home/apt,4,1,1,3,85
11638140,Kitsilano,Entire home/apt,6,2.5,4,9,85
11677580,Downtown,Entire home/apt,2,1,1,1,85
11688698,Kensington-Cedar Cottage,Private room,1,1,1,1,85
11713524,Kitsilano,Entire home/apt,2,2,2,0,85
11742643,Grandview-Woodland,Entire home/apt,2,1,1,1,85
11851708,Riley Park,Entire home/apt,2,,1,,85
11906047,Kensington-Cedar Cottage,Entire home/apt,5,1,2,3,85
11922799,Downtown,Entire home/apt,2,1,0,1,85
11944311,Renfrew-Collingwood,Entire home/apt,6,1,3,4,85
11950920,West Point Grey,Entire home/apt,2,1,1,1,85
12044153,Kitsilano,Entire home/apt,4,1,2,2,85
12083773,Kitsilano,Entire home/apt,4,,2,,85
12156919,Grandview-Woodland,Entire home/apt,4,2,2,2,85
12157772,Sunset,Entire home/apt,2,,1,,85
12209150,Downtown,Entire home/apt,2,,1,,85
12210228,Downtown,Entire home/apt,2,,1,,85
12213507,West End,Entire home/apt,4,1,2,2,86
12285968,Kensington-Cedar Cottage,Entire home/apt,6,1,2,3,86
12304783,Hastings-Sunrise,Entire home/apt,5,2,2,3,86
12309772,Downtown,Entire home/apt,5,2,2,3,86
12313584,Downtown,Entire home/apt,4,2,2,2,86
12321367,Downtown Eastside,Entire home/apt,3,,1,,87
12336968,Kensington-Cedar Cottage,Entire home/apt,11,3,5,6,87
12345888,Fairview,Entire home/apt,4,,2,,87
12391067,Downtown,Entire home/apt,2,1,1,1,87
12423800,Dunbar Southlands,Entire home/apt,6,1,3,4,87
12449836,Kitsilano,Private room,2,,,,87
12490989,Kitsilano,Entire home/apt,4,,2,,87
12500432,Marpole,Private room,2,1,1,1,88
12520418,Hastings-Sunrise,Entire home/apt,4,,2,,88
12522460,Fairview,Private room,2,1,1,1,88
12522873,Downtown Eastside,Entire home/apt,3,,1,,88
12542874,Mount Pleasant,Entire home/apt,6,,3,,88
12561247,Fairview,Private room,2,1,1,1,88
12603779,Kitsilano,Entire home/apt,2,,1,,88
12604369,Riley Park,Entire home/apt,4,1,1,2,88
12611121,Marpole,Entire home/apt,6,,3,,88
12728177,West End,Entire home/apt,2,1,0,1,88
12754577,Grandview-Woodland,Entire home/apt,2,,1,,88
12762068,Riley Park,Private room,1,1,1,2,88
12791718,Marpole,Entire home/apt,4,,2,,88
12815958,Marpole,Entire home/apt,4,1,2,2,89
12829633,Riley Park,Private room,1,1,1,0,89
12853613,Downtown Eastside,Entire home/apt,4,1,2,2,89
12952602,Riley Park,Entire home/apt,6,,4,,89
13000591,Marpole,Private room,2,0,0,1,89
13007169,Downtown,Entire home/apt,4,,2,,89
13021044,Fairview,Entire home/apt,4,,2,,89
13035303,Kensington-Cedar Cottage,Private room,2,,,,89
13093588,Downtown,Entire home/apt,2,1,1,1,89
13095062,Riley Park,Entire home/apt,6,2,3,4,90
13111653,Downtown,Entire home/apt,2,,9,,90
13131513,Grandview-Woodland,Private room,2,1.5,1,1,90
13157169,Riley Park,Entire home/apt,4,2,2,3,90
13205734,Renfrew-Collingwood,Entire home/apt,4,1,1,2,90
13261213,Mount Pleasant,Entire home/apt,4,1,2,2,90
13274735,Grandview-Woodland,Entire home/apt,4,1,1,2,90
13284025,Sunset,Entire home/apt,4,1,1,2,90
13297246,Downtown,Entire home/apt,2,,,,90
13317612,Downtown,Entire home/apt,2,1,1,1,90
13346084,Arbutus Ridge,Entire home/apt,8,,4,,90
13350002,Riley Park,Entire home/apt,6,1,2,3,90
13358432,Renfrew-Collingwood,Entire home/apt,1,1,2,1,90
13361855,Arbutus Ridge,Private room,2,1,1,1,90
13396760,Riley Park,Entire home/apt,10,3,4,4,90
13416108,Downtown Eastside,Entire home/apt,4,2,2,2,90
13525164,West End,Entire home/apt,2,1,0,1,90
13606952,Downtown,Entire home/apt,2,,1,,90
13607164,Kensington-Cedar Cottage,Entire home/apt,4,1,1,2,90
13617271,Grandview-Woodland,Entire home/apt,4,,3,,90
13620049,Downtown Eastside,Entire home/apt,3,2,2,3,90
